wind_speed,swr,turbulence/turb_param/k_min,light_extinction/g1/constant_value,par_id
1.1276,0.84406,4.3179e-06,0.022072,p0048
0.71922,1.3206,5.6324e-08,0.78347,p0049
1.441,0.75177,2.0234e-05,0.19659,p0050
0.72984,1.2877,6.3991e-07,0.54009,p0051
0.54104,0.68341,6.3412e-10,0.53641,p0052
1.9506,0.80632,4.4123e-08,0.56686,p0053
0.27651,0.90844,1.8253e-08,0.18511,p0054
1.9738,1.3956,1.9978e-05,0.18919,p0055
0.70899,1.1147,2.4826e-08,0.94202,p0056
0.67606,0.53083,1.6365e-10,0.75697,p0057
0.58804,1.1166,4.3425e-05,0.54291,p0058
1.6314,0.34033,1.5822e-05,0.073974,p0059
1.9206,0.4381,1.1929e-07,0.29859,p0060
1.5648,1.0354,1.2533e-09,0.89187,p0061
0.7723,0.33368,7.9234e-07,0.24009,p0062
0.77892,0.80066,3.6396e-06,0.54594,p0063
1.1161,0.43981,4.6973e-09,0.094193,p0064
1.5195,0.74319,3.0382e-07,0.20869,p0065
0.61521,1.3884,7.5912e-09,0.38017,p0066
0.96727,0.52499,8.0864e-09,0.1357,p0067
0.31393,1.2647,1.6814e-10,0.78615,p0068
1.1486,0.619,1.8006e-05,0.34803,p0069
1.3249,1.0494,8.4553e-05,0.56991,p0070
1.2145,0.46213,6.1656e-08,0.53147,p0071
0.43951,1.4128,2.4799e-09,0.29043,p0072
1.4135,0.67985,2.6802e-05,0.03633,p0073
0.53038,0.44851,9.5095e-05,0.59446,p0074
0.8152,0.45296,1.4027e-09,0.54193,p0075
1.4418,0.75651,1.6919e-10,0.2347,p0076
0.3179,0.26401,3.8595e-08,0.11347,p0077
1.4745,1.0521,3.516e-05,0.14091,p0078
0.56128,1.2309,1.1162e-07,0.60934,p0079
0.7242,1.4021,1.7013e-09,0.083642,p0080
1.4832,0.89304,1.0874e-06,0.32797,p0081
1.3049,0.64886,3.1082e-06,0.85742,p0082
1.3038,0.82863,3.7656e-07,0.643,p0083
0.38595,1.3362,1.0898e-10,0.43153,p0084
1.6333,0.11907,3.7651e-06,0.3423,p0085
0.89575,1.0786,1.7665e-09,0.66814,p0086
1.3108,0.15096,6.6591e-06,0.75012,p0087
1.6883,0.62536,3.5843e-06,0.74567,p0088
1.4492,0.71624,2.2305e-07,0.75509,p0089
1.5279,1.0647,1.2493e-07,0.043493,p0090
1.6736,0.707,1.152e-09,0.46559,p0091
1.2519,0.88592,2.1232e-06,0.12692,p0092
1.0739,1.2416,2.8014e-10,0.64935,p0093
0.33204,1.2759,1.8379e-10,0.24212,p0094
1.7491,0.63181,4.1533e-08,0.048092,p0095
0.55906,0.69545,4.8632e-10,0.041083,p0096
0.81348,0.52214,1.9232e-05,0.27133,p0097
0.24142,0.64702,8.8875e-07,0.79985,p0098
1.0605,0.84718,3.6172e-05,0.36127,p0099
0.73416,0.28735,6.4229e-10,0.82656,p0100
1.8778,1.0913,3.3311e-10,0.3829,p0101
1.478,1.4794,3.9312e-09,0.92147,p0102
1.0512,0.72803,2.5476e-06,0.3879,p0103
1.3544,0.27978,5.2472e-09,0.15486,p0104
0.38215,1.3122,2.2633e-09,0.97957,p0105
0.24824,0.1274,4.9669e-08,0.093153,p0106
1.9843,1.4993,3.1311e-08,0.28031,p0107
1.4345,0.35015,6.8454e-05,0.91741,p0108
1.6403,1.4276,1.947e-08,0.88332,p0109
0.39742,0.11601,1.3027e-06,0.32303,p0110
1.9306,0.4185,4.1864e-10,0.73797,p0111
0.22741,1.406,5.4309e-07,0.09754,p0112
1.3308,1.3982,2.1857e-08,0.61581,p0113
0.47466,1.4372,1.0623e-07,0.93661,p0114
1.2558,1.2198,2.6239e-06,0.63594,p0115
0.48681,0.27771,2.7518e-08,0.20695,p0116
1.637,0.5559,2.7535e-06,0.79384,p0117
1.9527,0.29239,1.9842e-07,0.46178,p0118
1.2875,1.133,1.2852e-08,0.41008,p0119
0.3113,0.46566,5.8084e-08,0.26846,p0120
1.4717,1.2799,6.3775e-08,0.90792,p0121
1.506,1.1701,1.067e-06,0.43381,p0122
0.40583,1.1224,1.1316e-05,0.93689,p0123
1.1562,1.1417,1.3646e-05,0.14561,p0124
0.14584,1.2672,1.2655e-10,0.65899,p0125
1.6025,0.56546,1.1752e-05,0.11991,p0126
0.57521,0.45209,2.584e-09,0.56442,p0127
0.32817,1.4832,1.3143e-06,0.71579,p0128
0.53742,0.35769,1.0121e-06,0.81292,p0129
1.832,1.0681,8.6461e-05,0.89953,p0130
0.93392,0.98517,5.9125e-09,0.38071,p0131
0.62949,0.99733,1.4936e-08,0.42836,p0132
0.11718,0.67036,4.5642e-08,0.52648,p0133
1.907,0.34304,7.8307e-08,0.71013,p0134
0.24757,0.92647,8.0125e-07,0.70406,p0135
1.8625,1.1339,7.66e-06,0.15897,p0136
0.74399,0.14925,5.746e-07,0.83816,p0137
1.1255,0.49232,5.213e-06,0.39709,p0138
1.2655,0.4268,3.2841e-07,0.52427,p0139
0.14533,1.1466,3.0133e-10,0.4468,p0140
0.93613,0.53528,5.377e-07,0.51797,p0141
0.45329,0.7246,1.3884e-06,0.76051,p0142
0.66308,0.18856,1.0787e-05,0.3773,p0143
1.8728,1.4947,1.6119e-09,0.52068,p0144
0.51856,0.30474,1.446e-10,0.94462,p0145
1.0638,0.42465,5.0782e-06,0.99542,p0146
0.9617,1.156,2.6985e-08,0.6475,p0147
1.6943,0.35317,2.3549e-09,0.7644,p0148
0.46901,0.6273,1.0188e-09,0.83357,p0149
1.036,1.3555,8.2888e-08,0.16873,p0150
0.29277,0.87018,1.2945e-07,0.77926,p0151
0.43133,0.60937,7.5761e-05,0.54796,p0152
0.18791,1.3506,3.5966e-07,0.58289,p0153
1.557,0.23253,1.4655e-07,0.42489,p0154
0.42151,0.82688,9.3711e-10,0.50832,p0155
0.51349,0.50319,4.3122e-09,0.74227,p0156
0.57134,1.0293,3.0296e-06,0.66296,p0157
1.4452,0.99278,3.0117e-05,0.94934,p0158
0.7523,0.41036,2.6593e-09,0.1517,p0159
1.3006,0.58971,9.1327e-07,0.76377,p0160
0.21989,0.48499,3.412e-08,0.21133,p0161
1.9184,0.59814,8.1212e-10,0.557,p0162
0.47903,1.3159,1.3118e-10,0.84895,p0163
1.1491,0.28278,5.9454e-08,0.32902,p0164
0.63746,0.80458,6.7483e-10,0.55505,p0165
1.9025,0.76126,3.3806e-08,0.89738,p0166
1.2734,0.24702,3.532e-10,0.7359,p0167
1.7786,1.4199,6.1579e-10,0.086555,p0168
0.59414,0.88359,8.9026e-08,0.064692,p0169
1.3824,0.97563,8.0717e-08,0.67555,p0170
0.19807,0.55718,6.9075e-07,0.97123,p0171
0.91573,0.77386,5.7505e-09,0.39393,p0172
1.9957,0.80906,2.8208e-08,0.63205,p0173
1.3357,1.0482,3.743e-08,0.38982,p0174
1.2227,0.10282,8.2953e-07,0.53668,p0175
1.8205,1.1547,2.1496e-06,0.079936,p0176
1.5074,0.9672,3.9911e-07,0.45635,p0177
0.93211,0.77823,6.339e-09,0.91925,p0178
1.6486,0.29565,2.9774e-09,0.31849,p0179
1.9426,0.65481,3.2659e-06,0.7387,p0180
1.2673,0.98768,4.9804e-09,0.38518,p0181
0.72227,0.32443,3.5507e-09,0.68359,p0182
1.5512,1.098,8.3808e-09,0.65646,p0183
1.8953,0.72305,1.7671e-07,0.30646,p0184
1.6692,1.073,3.4238e-05,0.40511,p0185
1.8541,0.50972,2.6518e-10,0.65384,p0186
0.63286,0.85713,2.5156e-10,0.49673,p0187
0.77298,0.10774,3.5077e-08,0.31257,p0188
1.6547,0.79692,1.7186e-05,0.4165,p0189
1.793,0.31783,6.2206e-07,0.54944,p0190
1.7003,0.83258,1.2097e-09,0.19419,p0191
1.1082,1.1678,1.7429e-10,0.77336,p0192
1.6517,1.3218,1.7565e-08,0.49473,p0193
1.9448,0.18381,5.9465e-07,0.12239,p0194
1.5862,0.95978,4.1045e-07,0.63416,p0195
0.62499,1.1967,2.8506e-06,0.64437,p0196
0.16362,1.4594,6.3286e-05,0.61013,p0197
0.5702,1.2056,1.0687e-10,0.057966,p0198
0.39019,0.78068,5.2014e-10,0.83755,p0199
1.0686,0.30129,1.5173e-09,0.85182,p0200
0.25925,0.15837,2.8745e-10,0.21421,p0201
0.19255,1.3325,2.3881e-10,0.48546,p0202
1.2592,1.1045,3.1752e-07,0.80491,p0203
1.3638,1.2358,9.9841e-08,0.80713,p0204
1.1755,0.51177,3.042e-09,0.91236,p0205
0.68759,0.84064,4.6746e-10,0.11749,p0206
0.15453,0.86814,1.5695e-07,0.58962,p0207
0.68319,1.0195,1.0276e-08,0.23338,p0208
1.6584,1.3645,1.467e-06,0.029037,p0209
0.18367,0.63786,5.4828e-09,0.85404,p0210
1.0994,0.57091,3.1462e-10,0.49289,p0211
1.352,0.45713,1.9882e-06,0.024461,p0212
0.61938,1.4135,1.7094e-07,0.01228,p0213
0.2949,0.44701,2.0219e-09,0.88652,p0214
1.9392,1.1255,4.9337e-07,0.86882,p0215
1.6816,1.0411,2.1739e-09,0.67985,p0216
1.2125,0.67178,1.2014e-09,0.16625,p0217
0.78355,0.77057,5.3002e-10,0.3017,p0218
1.7546,0.22655,7.1082e-06,0.2849,p0219
1.277,1.2145,4.191e-05,0.28836,p0220
1.015,0.60157,9.6118e-09,0.36531,p0221
0.94473,1.2325,7.7419e-10,0.73111,p0222
0.98633,1.1403,4.7743e-07,0.80344,p0223
1.1033,1.423,1.6085e-08,0.19985,p0224
1.8589,1.257,3.2192e-05,0.76008,p0225
0.35672,0.8119,1.0475e-07,0.1334,p0226
0.23682,1.0612,5.0925e-08,0.4847,p0227
1.1936,0.13908,6.5609e-07,0.26025,p0228
0.21173,1.1478,8.1698e-09,0.2055,p0229
1.8285,0.56787,5.9299e-10,0.59648,p0230
0.95497,0.7088,1.0226e-10,0.30365,p0231
1.1694,1.3933,1.8656e-07,0.35112,p0232
1.7077,1.2952,3.9419e-08,0.88306,p0233
0.41661,1.095,1.1365e-09,0.12598,p0234
0.91235,1.2685,6.0467e-06,0.42724,p0235
1.1431,0.57765,5.561e-06,0.97741,p0236
0.89187,0.97738,7.6364e-08,0.55368,p0237
0.89902,1.0879,1.5201e-06,0.21268,p0238
1.73,0.99541,3.7242e-09,0.21798,p0239
0.62367,0.95958,1.2124e-08,0.31921,p0240
0.57905,0.16065,2.5243e-08,0.47335,p0241
0.25428,0.94554,1.814e-10,0.67796,p0242
0.9935,0.38812,1.3583e-08,0.14416,p0243
1.4677,0.18063,2.8133e-09,0.68683,p0244
1.8993,1.0228,2.9855e-07,0.35629,p0245
1.0434,1.0886,1.4827e-07,0.76748,p0246
0.508,0.54637,1.1646e-10,0.054767,p0247
1.0966,1.3435,1.075e-09,0.97309,p0248
0.65657,0.21036,4.5714e-07,0.0765,p0249
0.23367,0.16296,6.2756e-06,0.88857,p0250
0.36738,1.1787,3.3243e-05,0.44457,p0251
0.60712,1.193,7.0189e-10,0.30017,p0252
0.35051,1.1088,1.3686e-06,0.52882,p0253
1.6457,0.91463,2.9776e-08,0.77566,p0254
0.92741,1.2389,1.0369e-10,0.88048,p0255
1.7992,1.2113,4.0558e-09,0.58792,p0256
0.97937,1.2211,3.524e-07,0.84694,p0257
0.51575,0.54369,3.2168e-06,0.49742,p0258
0.82149,0.51714,3.4802e-06,0.61643,p0259
1.3333,0.33783,4.4088e-07,0.42162,p0260
0.32525,0.17343,2.4797e-10,0.61319,p0261
0.19985,0.16697,6.8286e-06,0.20243,p0262
0.37709,0.25846,6.9001e-06,0.81151,p0263
0.7663,1.1009,2.0904e-09,0.23132,p0264
0.52756,1.0068,6.1724e-05,0.92467,p0265
1.0219,1.4578,7.319e-05,0.11204,p0266
1.6628,1.4338,1.6389e-08,0.83371,p0267
1.0102,0.41185,1.4184e-07,0.2506,p0268
1.175,1.0335,5.3579e-05,0.75361,p0269
1.7251,0.3311,5.0632e-10,0.5517,p0270
1.7709,0.26192,2.3584e-08,0.94339,p0271
1.5957,1.4499,7.3029e-10,0.050922,p0272
1.578,0.73082,9.7761e-05,0.033196,p0273
0.91904,0.53274,2.435e-07,0.86456,p0274
1.228,0.15564,2.622e-08,0.24601,p0275
1.5422,0.46959,1.7218e-06,0.22612,p0276
0.95078,1.4768,1.0102e-07,0.96072,p0277
1.0253,1.2539,2.0387e-07,0.74274,p0278
1.2437,0.22588,2.9541e-08,0.78042,p0279
0.16634,0.37333,3.388e-09,0.71251,p0280
0.55492,0.69292,3.6352e-10,0.57397,p0281
1.4329,0.73744,5.0713e-07,0.1706,p0282
1.0161,1.1812,3.3404e-09,0.29669,p0283
0.12425,0.22148,4.0871e-08,0.33468,p0284
0.27464,0.43233,7.2251e-09,0.25706,p0285
1.371,1.3043,2.3497e-07,0.8742,p0286
0.10977,0.53784,9.223e-08,0.69092,p0287
1.1136,1.1131,3.8575e-10,0.41405,p0288
0.43628,0.98309,1.0006e-09,0.94804,p0289
0.26846,1.071,4.6395e-08,0.72807,p0290
0.39477,0.49165,4.3747e-10,0.10741,p0291
1.7882,0.47421,8.8178e-07,0.69812,p0292
1.8809,0.6999,1.7531e-08,0.5715,p0293
1.4176,1.2253,3.2849e-08,0.052274,p0294
1.6131,1.0582,7.5521e-08,0.18394,p0295
1.2915,1.2779,1.1656e-08,0.038024,p0296
0.48855,0.32708,2.6547e-07,0.9646,p0297
1.8915,1.4874,1.8378e-09,0.65031,p0298
1.1597,0.16748,8.1913e-06,0.72586,p0299
0.9423,0.83696,1.5479e-06,0.56399,p0300
0.4923,1.0081,4.4616e-09,0.3743,p0301
1.494,1.1588,4.7502e-05,0.61894,p0302
1.1878,0.54814,4.8721e-08,0.99979,p0303
1.4047,1.0317,7.9513e-06,0.15041,p0304
1.7416,0.19791,9.9731e-06,0.6751,p0305
1.5828,1.4739,3.1946e-10,0.48868,p0306
1.2852,0.75949,2.499e-07,0.34044,p0307
0.10078,1.3261,1.0979e-05,0.45397,p0308
1.3208,0.93831,6.9744e-08,0.25902,p0309
1.8137,0.47083,4.4622e-07,0.089536,p0310
0.92426,0.39292,2.0884e-07,0.22189,p0311
0.69649,0.20861,6.5686e-05,0.7187,p0312
0.30845,0.32291,4.5642e-05,0.86538,p0313
0.69099,1.328,3.9841e-06,0.046241,p0314
1.4269,0.13466,8.9878e-05,0.93886,p0315
1.4573,0.14379,3.2847e-05,0.47185,p0316
0.45543,1.4166,1.0708e-08,0.1635,p0317
0.99971,0.79753,1.3561e-10,0.98728,p0318
1.7663,0.88018,4.8188e-06,0.92698,p0319
0.2147,1.3733,1.2388e-05,0.12428,p0320
0.5242,0.64181,2.5678e-10,0.85856,p0321
1.5153,0.47803,1.2904e-09,0.40323,p0322
1.2172,0.41401,2.7552e-07,0.74761,p0323
1.8686,0.25277,1.2227e-07,0.41355,p0324
1.095,0.24489,3.1878e-09,0.39083,p0325
0.53671,0.63204,1.4983e-09,0.91357,p0326
0.43007,1.381,1.4245e-09,0.17577,p0327
1.3952,0.6602,1.2194e-06,0.27762,p0328
0.5499,0.20395,1.1204e-07,0.10023,p0329
1.7191,0.94967,2.35e-06,0.011112,p0330
0.2842,1.4386,3.022e-10,0.45933,p0331
1.245,1.046,8.7764e-09,0.52268,p0332
0.5987,0.40587,4.289e-08,0.82405,p0333
1.2383,1.4531,1.3828e-08,0.59377,p0334
0.64378,1.4621,1.1511e-07,0.79458,p0335
0.59246,0.84835,3.9172e-06,0.46089,p0336
1.7753,0.89789,5.7959e-06,0.75183,p0337
1.9089,0.93385,3.815e-07,0.70808,p0338
1.5135,0.68649,7.6622e-10,0.11528,p0339
0.6403,1.3842,4.9786e-06,0.66037,p0340
1.6224,0.81983,8.2382e-05,0.73407,p0341
0.65472,0.58598,3.8222e-09,0.5094,p0342
0.8492,0.21819,5.4622e-10,0.48152,p0343
0.26268,0.27549,2.3856e-05,0.017339,p0344
1.3974,0.55956,1.2415e-10,0.78901,p0345
0.70078,0.76521,1.8377e-06,0.25485,p0346
1.5998,0.92527,1.4533e-06,0.25272,p0347
0.586,0.54027,2.0752e-10,0.69284,p0348
1.3492,1.0142,1.4796e-08,0.99299,p0349
1.8879,0.3637,4.8799e-09,0.5609,p0350
1.8511,0.39975,3.4219e-06,0.67171,p0351
1.3872,0.40304,6.985e-08,0.50029,p0352
1.1217,0.29681,2.9025e-09,0.10484,p0353
1.5328,1.2492,2.542e-05,0.061819,p0354
1.1606,0.78384,7.8818e-05,0.33525,p0355
1.5703,0.14533,5.5349e-09,0.44231,p0356
1.9649,0.78902,1.8505e-05,0.52733,p0357
0.20671,0.23854,7.674e-07,0.10506,p0358
0.10425,0.44402,4.0616e-05,0.51567,p0359
1.4819,1.4675,3.8333e-05,0.95827,p0360
0.83402,0.19247,1.3253e-08,0.47655,p0361
0.86878,0.30947,4.0725e-06,0.10141,p0362
1.8473,1.2517,1.5489e-10,0.36648,p0363
0.78761,0.36068,1.9305e-09,0.85016,p0364
1.5741,0.62187,8.479e-07,0.90381,p0365
1.8093,0.87481,8.8431e-10,0.86049,p0366
0.98486,0.61664,4.259e-06,0.033767,p0367
1.2785,0.85341,3.6265e-08,0.37476,p0368
0.49847,0.69911,2.8039e-07,0.58044,p0369
1.9332,1.374,9.5323e-06,0.13847,p0370
0.15868,1.3591,4.8203e-10,0.99788,p0371
0.16937,0.58105,5.2381e-08,0.31343,p0372
1.1664,1.4896,8.9355e-09,0.44763,p0373
0.75852,0.50773,9.6727e-10,0.98207,p0374
0.82542,0.34703,5.1436e-09,0.95225,p0375
0.88921,0.2158,1.0244e-05,0.30998,p0376
1.3584,0.87821,2.0332e-09,0.37184,p0377
0.67029,0.49848,7.3718e-09,0.39834,p0378
1.1364,0.36842,6.1473e-07,0.020884,p0379
1.0539,0.39457,9.5084e-08,0.76893,p0380
0.44271,0.47558,7.7035e-05,0.90655,p0381
0.30162,0.42037,9.837e-07,0.46936,p0382
1.1378,0.52568,7.0417e-05,0.59812,p0383
0.56405,0.59942,1.6675e-08,0.33722,p0384
0.85911,1.4445,1.2031e-05,0.97439,p0385
1.6266,0.91516,5.9174e-05,0.62561,p0386
1.0698,0.20347,1.3748e-05,0.81558,p0387
1.7965,0.90579,5.6721e-07,0.35861,p0388
0.1764,0.88923,1.3384e-10,0.096211,p0389
1.3805,1.4258,2.1816e-07,0.059602,p0390
1.7511,0.12177,1.8187e-06,0.60546,p0391
1.5932,0.9177,2.768e-06,0.17782,p0392
1.8328,0.71952,3.715e-10,0.072044,p0393
1.9995,1.3618,5.1792e-07,0.41927,p0394
0.46743,1.3995,3.0854e-05,0.87845,p0395
1.7799,0.30404,8.2179e-10,0.96666,p0396
0.75667,1.3376,8.5795e-06,0.34539,p0397
0.80117,0.95476,2.0455e-10,0.66466,p0398
1.2334,1.1528,1.0187e-06,0.89426,p0399
0.34073,0.75372,2.1517e-10,0.98576,p0400
0.61197,1.0822,3.9878e-09,0.20019,p0401
0.45972,1.4471,7.4985e-06,0.22968,p0402
0.20495,0.37817,9.4637e-10,0.69399,p0403
0.87973,0.61259,9.8887e-09,0.83973,p0404
1.5794,0.55134,2.2031e-10,0.60355,p0405
0.40269,1.2857,1.8577e-05,0.17432,p0406
1.7389,0.14038,1.6312e-05,0.86989,p0407
1.7349,0.95137,2.745e-10,0.50416,p0408
1.039,1.3072,2.2966e-10,0.91494,p0409
1.9898,0.68995,1.3821e-07,0.32663,p0410
0.66782,0.74928,1.6365e-07,0.79198,p0411
0.7377,1.3858,1.7995e-09,0.99034,p0412
1.5001,0.60622,1.0978e-08,0.40876,p0413
0.26354,1.3782,1.425e-10,0.2714,p0414
0.18023,0.57462,6.366e-06,0.89622,p0415
1.4553,0.27084,8.9008e-06,0.46464,p0416
1.9855,0.71196,5.6504e-05,0.36974,p0417
1.3688,0.37003,5.2542e-05,0.031713,p0418
1.3155,0.56333,7.3916e-10,0.2864,p0419
0.48301,1.4323,2.1462e-05,0.21766,p0420
1.9592,0.38351,2.1387e-07,0.60133,p0421
0.86585,1.353,1.3241e-09,0.62738,p0422
1.0491,0.93532,2.7477e-09,0.5028,p0423
1.0071,0.11116,2.8288e-05,0.17996,p0424
0.1739,1.2715,2.0241e-08,0.24839,p0425
1.9806,0.7443,2.2904e-05,0.53287,p0426
1.3456,0.86055,7.5119e-07,0.33099,p0427
0.76336,1.1772,2.1121e-05,0.64008,p0428
0.86241,0.21336,1.503e-05,0.66632,p0429
0.9059,1.2007,2.06e-06,0.35017,p0430
0.84002,1.3017,6.804e-09,0.4811,p0431
0.22452,0.12875,1.3388e-07,0.36387,p0432
1.401,0.26958,3.7181e-05,0.18084,p0433
1.1848,0.81527,4.228e-09,0.22167,p0434
1.4198,0.79423,2.4487e-06,0.15323,p0435
1.2092,1.1619,1.1784e-06,0.39599,p0436
1.1816,0.23517,1.5452e-07,0.78638,p0437
1.8369,1.4085,9.6223e-06,0.96852,p0438
1.8052,1.2132,3.4128e-07,0.51105,p0439
1.3191,1.4698,1.9802e-08,0.70226,p0440
0.35913,1.2985,1.4537e-05,0.19143,p0441
0.50282,0.64433,2.4216e-08,0.93113,p0442
1.9576,0.91177,2.2985e-09,0.82002,p0443
1.0833,0.32087,2.7708e-05,0.16676,p0444
1.4252,0.89124,9.3609e-09,0.26693,p0445
0.46409,0.90316,6.0656e-09,0.066891,p0446
0.84791,1.2427,4.0084e-10,0.088962,p0447
1.0773,1.481,2.3153e-06,0.55938,p0448
1.6721,1.0027,4.6199e-06,0.35816,p0449
0.83223,0.17647,1.6391e-06,0.60787,p0450
1.7839,0.77695,4.6819e-05,0.68224,p0451
0.11284,0.99976,2.3225e-05,0.13247,p0452
0.27935,1.0126,4.2582e-07,0.12932,p0453
1.844,0.6369,7.4431e-06,0.80804,p0454
1.6095,1.1648,6.4438e-08,0.34322,p0455
1.5547,0.48896,1.6729e-07,0.23664,p0456
0.74631,1.3301,1.0544e-05,0.80168,p0457
0.40976,0.11324,2.3883e-07,0.28321,p0458
0.99205,1.2911,1.5408e-08,0.9263,p0459
1.4606,0.67909,2.4956e-05,0.77761,p0460
1.6074,0.76883,1.9013e-07,0.69914,p0461
1.8665,1.444,8.5716e-10,0.65333,p0462
1.7114,0.43339,1.1547e-08,0.50625,p0463
1.4949,1.2594,8.5388e-06,0.23859,p0464
1.705,1.3429,8.5027e-08,0.5779,p0465
0.97618,1.366,2.9183e-07,0.84185,p0466
1.8829,0.6656,1.1464e-10,0.90127,p0467
0.12698,0.66579,1.1277e-06,0.3079,p0468
0.70729,0.92087,7.2357e-08,0.84541,p0469
0.23152,0.78645,2.1893e-05,0.043919,p0470
0.3516,0.10095,1.4157e-08,0.77158,p0471
0.32244,0.17113,1.5348e-05,0.72938,p0472
0.71477,1.2261,2.2391e-10,0.57599,p0473
1.5606,0.85061,4.2482e-10,0.26215,p0474
1.5217,0.28935,8.8831e-05,0.81608,p0475
0.79773,0.70338,7.1644e-07,0.95595,p0476
0.66193,0.86472,3.1457e-08,0.26472,p0477
1.8234,1.348,1.5724e-09,0.16177,p0478
0.88367,1.2825,6.753e-08,0.69552,p0479
1.0275,0.37514,1.2644e-05,0.1486,p0480
1.1304,0.13155,1.2371e-06,0.24529,p0481
1.6187,0.9,5.1359e-05,0.068344,p0482
1.0855,0.67571,9.1342e-09,0.11045,p0483
1.489,0.83397,1.3608e-09,0.43348,p0484
0.64841,1.2459,5.7576e-05,0.72252,p0485
1.7329,1.0164,1.7684e-06,0.015815,p0486
0.14052,0.19109,4.9903e-05,0.057183,p0487
1.8171,0.65195,4.4642e-05,0.70517,p0488
1.9138,0.73313,1.9311e-10,0.67003,p0489
0.13484,0.97264,3.9431e-07,0.93465,p0490
1.4102,0.82396,3.2537e-07,0.91004,p0491
0.5483,1.1361,1.0881e-09,0.29251,p0492
1.2019,0.25005,2.0985e-08,0.018077,p0493
0.50076,1.0403,1.24e-08,0.81876,p0494
1.9252,1.0767,3.9205e-05,0.62849,p0495
0.36301,0.38184,6.9892e-09,0.51474,p0496
0.74036,0.71448,1.805e-07,0.79695,p0497
1.7642,1.4921,1.9023e-08,0.92944,p0498
0.84358,0.86375,1.6638e-05,0.4363,p0499
1.229,0.59165,1.3272e-05,0.40686,p0500
