wind_speed,swr,ModelParameters/a_seiche,ModelParameters/k_min,ModelParameters/beta_sol,ModelParameters/p_windf,par_id
0.88649,1.2016,0.0016773,5.9805e-15,1.8004,1.2113,p0114
0.3,0.43969,0.00088618,8.3216e-15,1.2249,1.9722,p0115
0.2402,1.0978,0.0016304,1.6491e-14,0.18272,1.1594,p0116
1.1411,1.3601,0.0016582,8.1043e-09,0.95921,1.2039,p0117
1.6471,0.90783,0.00092776,1.5267e-07,1.2035,0.79567,p0118
0.50737,0.63922,0.00086093,7.9933e-07,0.53396,0.96596,p0119
0.48381,0.31101,0.00098774,2.0551e-11,0.74747,1.3509,p0120
1.3714,1.1839,0.0011946,4.858e-06,0.83779,0.97533,p0121
0.70961,0.35173,0.0010305,1.6408e-07,1.9096,0.49057,p0122
1.9452,1.3812,0.0013228,3.0314e-15,0.47923,1.9485,p0123
0.57791,0.88234,0.0013165,7.5998e-15,1.0234,0.38578,p0124
1.1294,0.62464,0.0027756,6.0947e-13,1.1142,1.1705,p0125
1.726,1.2916,0.0019481,1.9644e-07,1.2929,0.91477,p0126
0.30548,1.3293,0.0025781,3.3276e-13,0.0013242,0.37449,p0127
1.3249,0.78722,0.0012922,3.9609e-08,1.6237,1.2189,p0128
0.92551,1.077,0.0021144,1.9236e-12,1.5544,1.6476,p0129
0.11836,1.0918,0.0021805,2.6174e-12,1.3615,0.30024,p0130
0.45384,0.93858,0.001094,3.4032e-14,0.083132,0.45791,p0131
1.652,0.16318,0.00083263,5.4714e-06,1.0579,0.27136,p0132
1.8267,0.42387,0.00083058,3.9454e-15,0.27085,0.70397,p0133
1.7195,0.22627,0.00089346,1.2935e-12,1.5404,0.89233,p0134
1.5368,0.5635,0.0017317,2.655e-14,0.34087,0.39391,p0135
0.37246,1.498,0.0020565,2.3243e-15,0.022933,1.0934,p0136
0.43329,0.92625,0.0014826,1.5774e-15,1.6815,1.6601,p0137
0.47793,0.86483,0.0024231,3.1506e-12,1.7426,0.53454,p0138
0.31273,0.64454,0.0011693,5.8246e-13,1.9638,0.27842,p0139
0.14984,1.1308,0.00084853,6.5605e-07,1.593,0.25372,p0140
0.85771,0.61628,0.0011996,2.8088e-14,0.26371,1.2515,p0141
1.0941,0.63035,0.0028003,1.9629e-09,0.11591,0.21407,p0142
1.71,1.0667,0.0011097,5.4074e-14,1.9913,1.7208,p0143
0.87243,1.1217,0.002087,6.2812e-11,0.74156,0.86822,p0144
1.7623,1.3445,0.0021657,1.0644e-09,1.1475,0.68865,p0145
1.4774,1.1657,0.0013501,1.4009e-14,0.32425,1.9426,p0146
1.795,1.4495,0.0012106,9.9865e-12,1.0146,1.3868,p0147
1.2829,0.6929,0.0012167,1.1957e-09,1.723,1.086,p0148
0.72582,0.82487,0.0024117,2.212e-12,1.5083,0.84899,p0149
0.4693,1.3007,0.00084367,1.099e-11,0.76875,1.753,p0150
1.2749,0.79056,0.00099183,2.2524e-14,1.1508,1.4893,p0151
1.8502,0.41793,0.0018573,2.3032e-10,1.0254,1.2242,p0152
0.83324,0.81003,0.001366,6.4394e-09,0.28219,0.48221,p0153
1.8694,0.84744,0.0014285,8.1166e-10,1.6332,0.54845,p0154
1.4845,1.0313,0.002562,1.681e-12,1.6173,1.1847,p0155
1.2102,0.32624,0.0022973,1.3649e-06,1.5745,1.9071,p0156
0.28989,1.3907,0.0021266,3.4742e-13,0.81008,1.3146,p0157
1.0178,1.2933,0.0011045,1.3897e-13,0.48535,0.42474,p0158
1.0014,1.4104,0.0022952,3.5329e-09,1.9321,0.33853,p0159
1.1438,0.64773,0.0013772,2.4472e-12,0.45607,1.3689,p0160
0.12746,0.65488,0.00087237,1.5755e-14,1.2284,1.172,p0161
0.17935,1.1424,0.0010736,1.7921e-06,1.6989,0.73217,p0162
0.27697,1.357,0.0014324,4.163e-14,1.3654,1.3762,p0163
0.13255,1.3132,0.0024449,9.4589e-11,1.1038,1.68,p0164
1.5588,1.0886,0.0012992,1.204e-06,1.265,1.5329,p0165
1.5291,0.1941,0.0029598,1.8821e-08,1.2213,0.63253,p0166
0.38639,0.8127,0.0025941,2.3027e-12,1.0086,1.3884,p0167
1.8242,0.59632,0.0026452,3.8617e-09,0.65563,1.3998,p0168
0.41064,1.0465,0.00094524,3.8533e-13,1.664,1.1041,p0169
1.1336,1.2864,0.0016753,4.1318e-09,1.6051,1.8714,p0170
1.2057,1.4748,0.0019038,2.5959e-07,0.60368,1.3096,p0171
0.36465,0.24589,0.0029491,2.2113e-06,1.7064,0.31581,p0172
1.4117,0.30057,0.0015739,8.1676e-14,0.23864,1.5911,p0173
0.35883,1.0232,0.0014165,1.1372e-06,0.82201,1.1932,p0174
1.6041,0.68013,0.0013287,1.5405e-12,1.6859,1.5943,p0175
1.3758,0.45008,0.0016093,2.441e-09,0.09383,0.41597,p0176
1.9944,0.73895,0.0012209,1.6728e-13,1.1943,1.7409,p0177
0.77384,0.2829,0.001851,1.6612e-08,1.5366,1.5764,p0178
1.1771,0.44645,0.0029204,2.1316e-10,1.9675,0.97882,p0179
1.5601,1.4691,0.0017956,2.766e-06,0.7308,1.8006,p0180
1.4902,0.94184,0.0012231,7.827e-14,0.14779,0.49898,p0181
1.2084,0.4016,0.0015201,1.2336e-11,1.796,1.4211,p0182
0.6307,0.97258,0.00093987,1.4708e-06,0.38206,1.4858,p0183
1.8557,0.33092,0.0010325,1.5404e-11,0.90478,0.52432,p0184
1.007,0.17779,0.0011002,3.3479e-07,1.8402,0.4058,p0185
0.84073,0.37929,0.001416,1.7547e-14,1.4384,0.33542,p0186
0.27179,1.0799,0.0014918,1.0975e-10,1.6266,1.3548,p0187
1.2576,1.1987,0.00088803,1.6954e-14,0.32856,0.40961,p0188
1.1324,0.43265,0.00084172,5.9265e-09,0.80286,0.66977,p0189
0.93451,0.89133,0.0022257,4.1619e-12,1.8319,1.1246,p0190
0.7716,0.35837,0.00095548,2.74e-13,1.0521,1.7571,p0191
0.91691,0.509,0.000949,2.1713e-07,0.05431,0.79138,p0192
0.23628,0.44874,0.001117,1.0736e-06,1.7198,1.2588,p0193
0.73086,0.24257,0.0015083,3.4887e-12,0.6589,0.7349,p0194
0.81827,1.3956,0.0010449,1.4991e-11,0.69795,1.053,p0195
0.16955,1.4135,0.0023973,3.142e-14,1.4591,1.3317,p0196
1.4235,1.2831,0.001817,5.0768e-14,1.3067,1.5322,p0197
0.30381,0.2647,0.0018929,1.6158e-09,1.2983,0.45347,p0198
1.0313,1.0289,0.001202,1.0757e-13,1.401,0.19101,p0199
0.65264,0.33883,0.0014395,2.6653e-11,1.5172,1.5172,p0200
0.99246,1.0195,0.001166,2.8577e-10,0.49131,1.2335,p0201
1.9792,1.0647,0.0023683,7.8301e-11,1.3009,0.60459,p0202
1.1938,1.3396,0.0008184,1.1111e-09,0.012179,0.95417,p0203
1.8453,1.3199,0.0023235,1.6704e-07,1.7682,0.74961,p0204
1.8354,0.51994,0.0015365,2.0607e-06,0.0053294,0.18151,p0205
0.26082,1.0352,0.0016004,1.769e-11,1.3762,0.11904,p0206
0.40378,1.22,0.0029865,4.3065e-13,1.5911,0.55433,p0207
1.1794,0.52946,0.0020498,2.2322e-08,1.5811,0.74571,p0208
0.37587,0.7503,0.0025449,9.424e-10,1.3437,1.4478,p0209
0.92318,0.95368,0.0010231,8.0588e-06,1.4848,0.4212,p0210
0.62571,1.483,0.0029045,3.4188e-09,0.8831,1.7137,p0211
0.75485,1.1934,0.0010013,4.0423e-13,1.4433,0.81746,p0212
1.7699,0.9548,0.0013603,7.594e-13,0.29792,1.6534,p0213
1.5667,0.23558,0.0011367,8.5742e-07,0.75123,0.64205,p0214
0.52879,1.3679,0.0020238,8.1987e-11,0.33466,0.61187,p0215
1.4097,0.90304,0.0023943,4.4718e-10,1.6759,0.5294,p0216
0.44234,1.2748,0.0011284,1.9197e-13,0.11262,0.63922,p0217
0.52942,1.2611,0.0011593,4.5915e-12,0.36605,0.34685,p0218
1.8647,0.15264,0.0017208,4.7904e-12,1.7022,0.11801,p0219
0.70525,0.10347,0.0026804,1.6873e-06,1.3165,1.8975,p0220
0.50506,1.3583,0.0021008,3.6492e-15,1.019,0.69664,p0221
0.38025,1.264,0.00096962,1.2644e-10,0.71691,0.65756,p0222
1.6061,0.84304,0.0012434,2.9666e-14,1.3861,1.6943,p0223
0.85538,1.0879,0.00086598,2.158e-13,1.3723,1.1437,p0224
0.74734,0.2155,0.0014446,9.2847e-15,0.96666,1.5862,p0225
0.44037,0.30876,0.0013187,2.1524e-14,0.43355,1.0102,p0226
1.6143,0.53419,0.00099777,2.7779e-09,0.55122,0.92613,p0227
0.87608,1.4024,0.00080181,1.1933e-07,0.43826,0.71684,p0228
1.526,0.72595,0.0017276,1.8316e-09,1.4286,1.6449,p0229
1.6774,0.21283,0.0029104,1.0648e-08,1.6153,0.70815,p0230
0.83654,0.39854,0.0015267,2.0995e-06,0.29433,1.45,p0231
1.3852,0.95735,0.0012798,1.0872e-07,0.44893,1.7021,p0232
1.2503,0.36906,0.0015948,3.2254e-09,0.21903,0.38102,p0233
1.5418,1.2516,0.0015659,1.4317e-08,1.6494,1.624,p0234
1.081,0.54024,0.0021278,3.1956e-12,1.4547,0.35067,p0235
0.93008,0.20135,0.0010626,3.3782e-06,1.0417,1.8244,p0236
0.21101,1.3856,0.00174,6.5926e-15,0.44624,0.58682,p0237
0.10146,1.0429,0.0020794,7.1605e-08,1.2843,1.1012,p0238
1.9395,0.37263,0.001188,2.5555e-09,0.79833,1.8814,p0239
0.98037,0.87397,0.00097866,6.7021e-09,1.8668,1.5786,p0240
0.10441,0.78373,0.0008412,9.997e-08,0.39889,0.28608,p0241
1.4725,0.91758,0.0012123,5.6294e-15,0.29055,0.12499,p0242
1.7941,0.16757,0.0020694,2.1106e-08,1.4623,0.64568,p0243
1.4169,0.68563,0.0023383,1.4151e-06,1.2769,0.60617,p0244
1.2141,0.57105,0.0020985,7.6266e-07,0.81517,0.17093,p0245
1.6606,1.1482,0.00083722,3.736e-12,1.7546,1.2971,p0246
0.55998,1.1117,0.0008697,3.9243e-06,0.14918,1.7068,p0247
1.964,0.70159,0.0010914,2.4747e-11,0.97153,0.95763,p0248
0.77815,0.11032,0.0016051,3.7132e-09,1.1747,1.8849,p0249
0.39448,0.88831,0.0029805,2.3603e-11,0.3894,1.2073,p0250
1.5091,1.2042,0.0019182,4.0973e-07,0.64381,0.2516,p0251
1.8807,1.372,0.0011644,2.7146e-09,0.13331,0.14458,p0252
0.57961,0.80531,0.0023106,7.2563e-06,1.185,1.7227,p0253
0.46701,0.19847,0.0017843,2.9457e-06,1.8325,0.84827,p0254
0.67245,1.0529,0.0019433,4.9334e-15,0.24216,0.83625,p0255
0.25756,1.3532,0.0012538,1.5113e-07,1.2507,1.8588,p0256
0.26763,0.40283,0.0026166,4.4979e-15,0.94895,0.85885,p0257
0.54596,1.4262,0.0022426,1.812e-12,1.9309,0.84199,p0258
0.47272,1.1378,0.0014373,6.5905e-10,1.7443,0.76185,p0259
0.32409,1.1449,0.0019807,1.1863e-06,0.28514,0.23254,p0260
1.9918,1.3918,0.0020165,9.3195e-07,1.4671,0.53852,p0261
1.9347,0.23162,0.000855,5.6792e-11,1.035,0.67079,p0262
0.18075,0.65073,0.0010052,6.4495e-08,1.2584,1.3052,p0263
0.84841,1.402,0.0016204,3.5412e-14,0.63677,1.1381,p0264
0.95484,0.35368,0.0024289,1.2708e-14,1.3478,0.51538,p0265
0.55118,1.1029,0.00087641,1.044e-15,0.96219,1.4349,p0266
1.6654,1.3363,0.001386,3.9038e-11,1.9529,1.9271,p0267
0.69203,0.89469,0.0018035,1.2625e-07,1.0819,1.321,p0268
0.13493,0.30213,0.0019257,4.3031e-09,1.3543,0.43792,p0269
0.76759,1.3021,0.00082892,2.1913e-15,1.5033,0.20305,p0270
0.34936,0.10145,0.0016355,3.6726e-08,0.015552,1.5993,p0271
1.3839,0.20822,0.001312,4.8413e-07,0.043566,1.5081,p0272
1.6867,1.42,0.0022835,4.2082e-12,0.5173,1.3178,p0273
0.71929,0.77676,0.0011804,4.9389e-08,0.37932,1.5377,p0274
1.404,0.9434,0.0026081,1.1269e-14,1.1382,1.2844,p0275
1.799,1.125,0.0013813,8.961e-10,1.3144,0.83874,p0276
0.14704,0.67738,0.0015978,4.7591e-15,0.52376,1.0376,p0277
1.5731,0.36845,0.0024554,6.9455e-09,1.7309,1.3043,p0278
0.91268,0.26871,0.0020297,1.2799e-15,0.94673,0.66509,p0279
0.64314,0.15632,0.00081091,6.05e-12,1.1092,0.85616,p0280
1.9104,0.87882,0.0008153,4.6894e-11,1.5795,0.22204,p0281
0.86869,0.38272,0.0019582,6.6801e-08,0.61963,0.69474,p0282
0.93667,0.61005,0.002379,9.3036e-08,1.0372,1.2249,p0283
1.1547,0.34812,0.0015008,3.1383e-09,1.1774,0.62036,p0284
0.32754,0.43566,0.0013964,1.0065e-09,1.977,0.74104,p0285
1.1006,0.125,0.0012755,2.2283e-07,0.35251,0.31808,p0286
0.42538,1.015,0.001575,2.7534e-15,1.8766,0.90646,p0287
0.28337,0.67646,0.0016914,7.0219e-14,0.88897,0.29724,p0288
0.96227,0.86033,0.00082721,1.4687e-12,0.4323,0.77826,p0289
0.7502,1.0947,0.0012481,7.6462e-10,1.5681,1.4089,p0290
0.33745,0.19558,0.002134,5.7728e-10,0.67592,0.62844,p0291
0.43001,1.0551,0.001041,2.9468e-09,1.4258,0.20832,p0292
1.0903,1.1185,0.0016407,1.9806e-06,1.2885,0.99447,p0293
0.78581,0.415,0.0017669,2.4743e-06,0.87393,0.36096,p0294
1.5186,0.48451,0.0022868,2.1178e-11,1.3564,1.0763,p0295
1.1472,1.3687,0.0018068,4.7644e-14,0.71263,0.17382,p0296
1.8774,1.1722,0.0020761,4.7474e-13,0.94052,0.1505,p0297
1.4299,0.48263,0.0014215,2.4384e-13,1.1712,1.7959,p0298
0.69989,1.4443,0.0009515,1.7604e-13,1.8367,0.82942,p0299
1.403,0.75296,0.0010027,2.6846e-07,1.5877,1.0973,p0300
0.57105,1.4309,0.00090038,8.3539e-08,0.76211,0.72693,p0301
0.64413,0.13962,0.0016273,4.3863e-12,1.9862,1.7286,p0302
1.3451,1.0585,0.00081034,5.7126e-13,0.98137,1.895,p0303
1.0717,0.69746,0.00088388,4.9713e-11,0.37004,1.7161,p0304
0.58541,0.76456,0.0029347,1.1397e-07,1.3772,1.0209,p0305
1.2672,1.3178,0.0024181,9.866e-09,1.6424,1.297,p0306
0.42091,0.57001,0.0026051,3.6006e-08,1.276,0.37111,p0307
0.11513,0.92991,0.0012711,1.3867e-11,0.94099,0.56052,p0308
0.63305,0.2047,0.0027544,3.087e-07,0.80579,1.1356,p0309
0.67412,0.99107,0.0029252,5.0738e-10,1.0804,1.4264,p0310
1.2009,0.50411,0.0018443,5.446e-12,1.6593,1.8498,p0311
0.33361,0.42818,0.0017527,1.4066e-07,0.89316,0.13499,p0312
1.3794,0.31463,0.0010669,6.7026e-10,0.16002,1.4757,p0313
1.8042,0.16526,0.0023524,4.0235e-06,0.51583,0.39932,p0314
0.52457,0.25242,0.002691,7.6022e-08,1.3209,0.66197,p0315
0.19987,1.4054,0.0010836,1.8738e-15,0.84961,0.58323,p0316
0.69493,0.20928,0.0028401,5.433e-11,0.69566,0.6818,p0317
0.7629,0.56507,0.0013542,3.714e-14,1.4134,1.9763,p0318
1.6558,0.66334,0.002276,2.4313e-10,0.9537,0.16495,p0319
1.6089,0.59448,0.0012378,9.2329e-09,1.7586,1.1074,p0320
1.2242,1.4929,0.0014619,4.3277e-07,1.6286,1.4601,p0321
0.28223,1.2783,0.0010765,7.2493e-15,0.31381,0.35277,p0322
1.162,0.39182,0.0015588,7.5692e-12,0.58019,1.112,p0323
1.5836,1.2147,0.001877,6.361e-11,0.92304,1.9048,p0324
0.4162,0.89979,0.002887,1.8666e-07,0.17164,1.6904,p0325
0.49198,1.191,0.00090873,2.9362e-12,1.7757,1.632,p0326
1.035,0.11477,0.0011793,2.4733e-14,0.37295,0.32206,p0327
0.35336,1.2413,0.0019965,3.4755e-06,0.16247,0.1399,p0328
1.0983,0.5209,0.00098848,5.8762e-12,0.46329,0.67969,p0329
1.3664,0.49369,0.0016655,4.2025e-11,0.57372,1.2721,p0330
1.8093,0.42668,0.0022126,2.5225e-15,1.1304,1.8367,p0331
0.72014,0.65347,0.00089001,1.1653e-13,0.10211,0.71215,p0332
1.0286,0.18766,0.0016901,2.934e-13,0.62921,1.6376,p0333
1.6324,0.63358,0.0028534,4.9728e-10,0.8542,0.27966,p0334
0.80901,1.2678,0.0016998,1.2596e-06,0.56367,0.38951,p0335
1.5511,0.10592,0.0015523,3.3705e-08,0.92848,0.91836,p0336
1.3156,0.83875,0.0014968,1.3261e-07,0.5274,0.17863,p0337
0.6384,1.2472,0.0015413,1.049e-14,0.49563,0.86676,p0338
1.7561,1.348,0.0010976,4.3004e-08,1.5322,0.81828,p0339
1.1212,1.4893,0.0017749,4.2133e-14,0.55931,0.3249,p0340
0.227,1.0614,0.0012866,1.1847e-11,1.6683,0.54755,p0341
1.2601,0.57526,0.001848,5.2041e-15,0.14115,1.9834,p0342
0.59292,1.081,0.0016612,4.4976e-11,0.30924,0.36442,p0343
1.9271,0.47927,0.0022722,2.0196e-07,0.22862,1.4666,p0344
0.23134,0.58007,0.00084656,1.3796e-13,1.5701,1.51,p0345
1.5134,0.55947,0.0011563,1.4484e-08,1.3486,0.99722,p0346
0.6585,0.70441,0.0013903,1.2535e-15,1.9956,0.57397,p0347
0.55764,1.4244,0.0011258,1.0113e-13,1.8698,0.21957,p0348
0.68403,0.46415,0.00083481,1.4549e-10,0.58898,1.5514,p0349
1.8724,0.85075,0.001449,9.0906e-15,1.1421,1.8609,p0350
0.19751,0.22481,0.0014856,1.0378e-06,1.0621,1.5607,p0351
1.2175,0.84046,0.001231,6.7054e-11,0.068012,0.29032,p0352
0.74134,0.19003,0.00091326,1.9454e-15,0.53866,0.69081,p0353
1.6811,1.4528,0.0010206,5.5223e-14,0.86206,0.67476,p0354
1.0621,0.86188,0.0023158,5.553e-12,0.90372,0.48606,p0355
0.49921,0.78031,0.0013324,2.0851e-13,0.75742,1.9097,p0356
0.20845,1.4644,0.0013348,1.5378e-09,1.3903,1.1769,p0357
1.3546,1.4524,0.00080404,8.8073e-08,0.48099,0.23763,p0358
1.3922,0.87678,0.0010849,5.2699e-15,0.05289,0.57089,p0359
1.0003,1.1802,0.0027485,6.211e-09,0.091503,1.4036,p0360
1.7306,1.2659,0.0025073,8.4992e-09,0.12152,1.3814,p0361
1.5536,0.60029,0.0011385,7.978e-13,1.9582,1.9391,p0362
0.41463,0.76292,0.0027861,3.0005e-07,1.5473,0.10365,p0363
1.9225,1.1077,0.0014268,3.7808e-13,0.079651,1.4301,p0364
1.9511,0.79543,0.0029748,2.2809e-13,0.83145,0.75628,p0365
1.2925,0.47752,0.0012441,1.3745e-14,1.7505,0.33029,p0366
0.80302,0.6896,0.0025915,6.5094e-12,0.36147,0.30288,p0367
1.0669,0.42143,0.0014058,7.3463e-07,0.075208,0.89452,p0368
0.73462,1.0387,0.0026332,2.5549e-06,0.55599,1.9296,p0369
